ID,Source,Issue Title,Category,Pattern,Description,Issue URL,PR URL,Data Available,Remark 2
14,,Test Relocatable Savepoints+Make savepoints self-contained and relocatable,RM,RM-Ms,"Test on a real cluster, Result excepted.

    savepoint relocate can restore successfully
    checkpoint relocate will be failed with FileNotFoundException

commit : 8ca67c962a5575aba3a43b8cfd4a79ffc8069bd4

The Long log attached below:

username/ip/port and other sensitive information has been masked.

    For Savepoint

 

[~/flink-1.11-SNAPSHOT]$ ./bin/flink savepoint 9bcc2546a841b36a39c46fbe13a2b631 hdfs:///user/xxxxxx/congxianqiu/savepoint -yid application_1591259429117_0007
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/data/work/congxianqiu/flink-1.11-SNAPSHOT/lib/log4j-slf4j-impl-2.12.1.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/data/xxxxxx/hadoop/hadoop-2.7.4/share/hadoop/common/lib/slf4j-log4j12-1.7.10.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.apache.logging.slf4j.Log4jLoggerFactory]
2020-06-05 20:27:43,039 WARN  org.apache.flink.yarn.configuration.YarnLogConfigUtil        [] - The configuration directory ('/data/work/congxianqiu/flink-1.11-SNAPSHOT/conf') already contains a LOG4J config file.If you want to use logback, then please delete or rename the log configuration file.
2020-06-05 20:27:43,422 INFO  org.apache.flink.yarn.YarnClusterDescriptor                  [] - No path for the flink jar passed. Using the location of class org.apache.flink.yarn.YarnClusterDescriptor to locate the jar
2020-06-05 20:27:43,513 INFO  org.apache.flink.yarn.YarnClusterDescriptor                  [] - Found Web Interface 10-215-128-84:35572 of application 'application_1591259429117_0007'.
Triggering savepoint for job 9bcc2546a841b36a39c46fbe13a2b631.
Waiting for response...
Savepoint completed. Path: hdfs://ip:port/user/xxxxxx/congxianqiu/savepoint/savepoint-9bcc25-4ed827357f33
You can resume your program from this savepoint with the run command.

[~/flink-1.11-SNAPSHOT]$ hadoop fs -ls congxianqiu/savepoint
Found 1 items
drwxr-xr-x   - xxxxxx supergroup          0 2020-06-05 20:27 congxianqiu/savepoint/savepoint-9bcc25-4ed827357f33
[~/congxianqiu/flink-1.11-SNAPSHOT]$ hadoop fs -ls congxianqiu/savepoint/savepoint-9bcc25-4ed827357f33
Found 2 items
-rw-r--r--   3 xxxxxx supergroup      74170 2020-06-05 20:27 congxianqiu/savepoint/savepoint-9bcc25-4ed827357f33/6508ac9e-0d2a-4583-96ad-1d67fb5b1c8a
-rw-r--r--   3 xxxxxx supergroup       1205 2020-06-05 20:27 congxianqiu/savepoint/savepoint-9bcc25-4ed827357f33/_metadata



[~/flink-1.11-SNAPSHOT]$ hadoop fs -mv congxianqiu/savepoint/savepoint-9bcc25-4ed827357f33 congxianqiu/savepoint/newsavepointpath
[ ~/flink-1.11-SNAPSHOT]$ hadoop fs -ls congxianqiu/savepoint
Found 1 items
drwxr-xr-x   - xxxxxx supergroup          0 2020-06-05 20:27 congxianqiu/savepoint/newsavepointpath
[~/flink-1.11-SNAPSHOT]$ hadoop fs -ls congxianqiu/savepoint/newsavepointpath
Found 2 items
-rw-r--r--   3 xxxxxx supergroup      74170 2020-06-05 20:27 congxianqiu/savepoint/newsavepointpath/6508ac9e-0d2a-4583-96ad-1d67fb5b1c8a
-rw-r--r--   3 xxxxxx supergroup       1205 2020-06-05 20:27 congxianqiu/savepoint/newsavepointpath/_metadata


[~/flink-1.11-SNAPSHOT]$ ./bin/flink run -s hdfs:///user/xxxxxx/congxianqiu/newsavepointpath/_metadata -m yarn-cluster -c com.klion26.data.FlinkDemo /data/work/congxianqiu/flink-1.11-SNAPSHOT/ft_local/Flink-Demo-1.0-SNAPSHOT.jar
SLF4J: Class path contains multiple SLF4J bindings.


>>>>>> jobmanager.log
restored succesfully, can do checkpoint successfully.
2020-06-05 21:11:10,053 INFO  org.apache.flink.runtime.checkpoint.CheckpointCoordinator    [] - Starting job b2fbfa6527391f035e8eebd791c2f64e from savepoint hdfs:///user/xxxxxx/congxianqiu/savepoint/newsavepointpath/_metadata ()
2020-06-05 21:11:10,198 INFO  org.apache.flink.runtime.checkpoint.CheckpointCoordinator    [] - Reset the checkpoint ID of job b2fbfa6527391f035e8eebd791c2f64e to 3.
2020-06-05 21:11:10,198 INFO  org.apache.flink.runtime.checkpoint.CheckpointCoordinator    [] - Restoring job b2fbfa6527391f035e8eebd791c2f64e from latest valid checkpoint: Checkpoint 2 @ 0 for b2fbfa6527391f035e8eebd791c2f64e.
2020-06-05 21:11:10,206 INFO  org.apache.flink.runtime.checkpoint.CheckpointCoordinator    [] - No master state to restore
.......
2020-06-05 21:11:16,117 INFO  org.apache.flink.runtime.checkpoint.CheckpointCoordinator    [] - Checkpoint triggering task Source: Custom Source (1/1) of job b2fbfa6527391f035e8eebd791c2f64e is not in state RUNNING but SCHEDULED instead. Aborting checkpoint.
2020-06-05 21:11:19,456 INFO  org.apache.flink.yarn.YarnResourceManager                    [] - Registering TaskManager with ResourceID container_e18_1591259429117_0019_01_000002 (akka.tcp://flink@10-215-128-83:56603/user/rpc/taskmanager_0) at ResourceManager
2020-06-05 21:11:19,566 INFO  org.apache.flink.runtime.executiongraph.ExecutionGraph       [] - Source: Custom Source (1/1) (bc206dbf0e964487e5ba8c4355cb691e) switched from SCHEDULED to DEPLOYING.
2020-06-05 21:11:19,566 INFO  org.apache.flink.runtime.executiongraph.ExecutionGraph       [] - Deploying Source: Custom Source (1/1) (attempt #0) to container_e18_1591259429117_0019_01_000002 @ 10-215-128-83 (dataPort=45167)
2020-06-05 21:11:19,572 INFO  org.apache.flink.runtime.executiongraph.ExecutionGraph       [] - Map -> Sink: Unnamed (1/1) (7ae861cf453455d722d5d4ece0c10d1a) switched from SCHEDULED to DEPLOYING.
2020-06-05 21:11:19,573 INFO  org.apache.flink.runtime.executiongraph.ExecutionGraph       [] - Deploying Map -> Sink: Unnamed (1/1) (attempt #0) to container_e18_1591259429117_0019_01_000002 @ 10-215-128-83 (dataPort=45167)
2020-06-05 21:11:20,467 INFO  org.apache.flink.runtime.executiongraph.ExecutionGraph       [] - Map -> Sink: Unnamed (1/1) (7ae861cf453455d722d5d4ece0c10d1a) switched from DEPLOYING to RUNNING.
2020-06-05 21:11:20,468 INFO  org.apache.flink.runtime.executiongraph.ExecutionGraph       [] - Source: Custom Source (1/1) (bc206dbf0e964487e5ba8c4355cb691e) switched from DEPLOYING to RUNNING.
2020-06-05 21:12:16,199 INFO  org.apache.flink.runtime.checkpoint.CheckpointCoordinator    [] - Triggering checkpoint 3 @ 1591362736116 for job b2fbfa6527391f035e8eebd791c2f64e.
2020-06-05 21:12:16,854 INFO  org.apache.flink.runtime.checkpoint.CheckpointCoordinator    [] - Completed checkpoint 3 for job b2fbfa6527391f035e8eebd791c2f64e (106237 bytes in 736 ms).
2020-06-05 21:13:16,172 INFO  org.apache.flink.runtime.checkpoint.CheckpointCoordinator    [] - Triggering checkpoint 4 @ 1591362796116 for job b2fbfa6527391f035e8eebd791c2f64e.
2020-06-05 21:13:16,680 INFO  org.apache.flink.runtime.checkpoint.CheckpointCoordinator    [] - Completed checkpoint 4 for job b2fbfa6527391f035e8eebd791c2f64e (32823 bytes in 542 ms).
2. log for checkpoint

[~/flink-1.11-SNAPSHOT]$ hadoop fs -ls congxianqiu/checkpoint/b2fbfa6527391f035e8eebd791c2f64e/      
Found 3 items
drwxr-xr-x   - xxxxxx supergroup          0 2020-06-05 21:15 congxianqiu/checkpoint/b2fbfa6527391f035e8eebd791c2f64e/chk-6
drwxr-xr-x   - xxxxxx supergroup          0 2020-06-05 21:15 congxianqiu/checkpoint/b2fbfa6527391f035e8eebd791c2f64e/shared
drwxr-xr-x   - xxxxxx supergroup          0 2020-06-05 21:11 congxianqiu/checkpoint/b2fbfa6527391f035e8eebd791c2f64e/taskowned


[ ~/flink-1.11-SNAPSHOT]$ hadoop fs -mv congxianqiu/checkpoint/b2fbfa6527391f035e8eebd791c2f64e congxianqiu/checkpoint/movecheckpoint
[~/flink-1.11-SNAPSHOT]$ hadoop fs -ls congxianqiu/checkpoint/movecheckpoint
Found 3 items
drwxr-xr-x   - xxxxxx supergroup          0 2020-06-05 21:23 congxianqiu/checkpoint/movecheckpoint/chk-6
drwxr-xr-x   - xxxxxx supergroup          0 2020-06-05 21:23 congxianqiu/checkpoint/movecheckpoint/shared
drwxr-xr-x   - xxxxxx supergroup          0 2020-06-05 21:23 congxianqiu/checkpoint/movecheckpoint/taskowned



jobmanager.log
failed because of FileNotFound Exception
020-06-05 21:28:13,728 INFO  org.apache.flink.runtime.executiongraph.ExecutionGraph       [] - Map -> Sink: Unnamed (1/1) (8784ec1b22ac1ca1dd8778505e434048)
 switched from DEPLOYING to RUNNING.
2020-06-05 21:28:13,745 INFO  org.apache.flink.runtime.executiongraph.ExecutionGraph       [] - Map -> Sink: Unnamed (1/1) (8784ec1b22ac1ca1dd8778505e434048)
 switched from RUNNING to FAILED on org.apache.flink.runtime.jobmaster.slotpool.SingleLogicalSlot@1967324.
java.lang.Exception: Exception while creating StreamOperatorStateContext.
        at org.apache.flink.streaming.api.operators.StreamTaskStateInitializerImpl.streamOperatorStateContext(StreamTaskStateInitializerImpl.java:204) ~[flin
k-dist_2.11-1.11-SNAPSHOT.jar:1.11-SNAPSHOT]
        at org.apache.flink.streaming.api.operators.AbstractStreamOperator.initializeState(AbstractStreamOperator.java:247) ~[flink-dist_2.11-1.11-SNAPSHOT.j
ar:1.11-SNAPSHOT]
        at org.apache.flink.streaming.runtime.tasks.OperatorChain.initializeStateAndOpenOperators(OperatorChain.java:290) ~[flink-dist_2.11-1.11-SNAPSHOT.jar
:1.11-SNAPSHOT]
        at org.apache.flink.streaming.runtime.tasks.StreamTask.lambda$beforeInvoke$0(StreamTask.java:472) ~[flink-dist_2.11-1.11-SNAPSHOT.jar:1.11-SNAPSHOT]
        at org.apache.flink.streaming.runtime.tasks.StreamTaskActionExecutor$1.runThrowing(StreamTaskActionExecutor.java:47) ~[flink-dist_2.11-1.11-SNAPSHOT.
jar:1.11-SNAPSHOT]
        at org.apache.flink.streaming.runtime.tasks.StreamTask.beforeInvoke(StreamTask.java:468) ~[flink-dist_2.11-1.11-SNAPSHOT.jar:1.11-SNAPSHOT]
        at org.apache.flink.streaming.runtime.tasks.StreamTask.invoke(StreamTask.java:521) ~[flink-dist_2.11-1.11-SNAPSHOT.jar:1.11-SNAPSHOT]
        at org.apache.flink.runtime.taskmanager.Task.doRun(Task.java:720) ~[flink-dist_2.11-1.11-SNAPSHOT.jar:1.11-SNAPSHOT]
        at org.apache.flink.runtime.taskmanager.Task.run(Task.java:545) ~[flink-dist_2.11-1.11-SNAPSHOT.jar:1.11-SNAPSHOT]
        at java.lang.Thread.run(Thread.java:748) ~[?:1.8.0_144]
Caused by: org.apache.flink.util.FlinkException: Could not restore keyed state backend for StreamMap_20ba6b65f97481d5570070de90e4e791_(1/1) from any of the 1
 provided restore options.
        at org.apache.flink.streaming.api.operators.BackendRestorerProcedure.createAndRestore(BackendRestorerProcedure.java:135) ~[flink-dist_2.11-1.11-SNAPS
HOT.jar:1.11-SNAPSHOT]
        at org.apache.flink.streaming.api.operators.StreamTaskStateInitializerImpl.keyedStatedBackend(StreamTaskStateInitializerImpl.java:317) ~[flink-dist_2
.11-1.11-SNAPSHOT.jar:1.11-SNAPSHOT]
        at org.apache.flink.streaming.api.operators.StreamTaskStateInitializerImpl.streamOperatorStateContext(StreamTaskStateInitializerImpl.java:144) ~[flin
k-dist_2.11-1.11-SNAPSHOT.jar:1.11-SNAPSHOT]
        ... 9 more
Caused by: org.apache.flink.runtime.state.BackendBuildingException: Caught unexpected exception.
        at org.apache.flink.contrib.streaming.state.RocksDBKeyedStateBackendBuilder.build(RocksDBKeyedStateBackendBuilder.java:330) ~[flink-dist_2.11-1.11-SNAPSHOT.jar:1.11-SNAPSHOT]
        at org.apache.flink.contrib.streaming.state.RocksDBStateBackend.createKeyedStateBackend(RocksDBStateBackend.java:535) ~[flink-dist_2.11-1.11-SNAPSHOT.jar:1.11-SNAPSHOT]
        at org.apache.flink.streaming.api.operators.StreamTaskStateInitializerImpl.lambda$keyedStatedBackend$1(StreamTaskStateInitializerImpl.java:301) ~[flink-dist_2.11-1.11-SNAPSHOT.jar:1.11-SNAPSHOT]
        at org.apache.flink.streaming.api.operators.BackendRestorerProcedure.attemptCreateAndRestore(BackendRestorerProcedure.java:142) ~[flink-dist_2.11-1.11-SNAPSHOT.jar:1.11-SNAPSHOT]
        at org.apache.flink.streaming.api.operators.BackendRestorerProcedure.createAndRestore(BackendRestorerProcedure.java:121) ~[flink-dist_2.11-1.11-SNAPSHOT.jar:1.11-SNAPSHOT]
        at org.apache.flink.streaming.api.operators.StreamTaskStateInitializerImpl.keyedStatedBackend(StreamTaskStateInitializerImpl.java:317) ~[flink-dist_2.11-1.11-SNAPSHOT.jar:1.11-SNAPSHOT]
        at org.apache.flink.streaming.api.operators.StreamTaskStateInitializerImpl.streamOperatorStateContext(StreamTaskStateInitializerImpl.java:144) ~[flink-dist_2.11-1.11-SNAPSHOT.jar:1.11-SNAPSHOT]
        ... 9 more
Caused by: org.apache.hadoop.ipc.RemoteException: File does not exist: /user/xxxxxx/congxianqiu/checkpoint/b2fbfa6527391f035e8eebd791c2f64e/shared/56704ae2-d
04c-4073-aa6b-843a40e15bbe
        at org.apache.hadoop.hdfs.server.namenode.INodeFile.valueOf(INodeFile.java:71)
        at org.apache.hadoop.hdfs.server.namenode.INodeFile.valueOf(INodeFile.java:61)
        at org.apache.hadoop.hdfs.server.namenode.FSNamesystem.getBlockLocationsInt(FSNamesystem.java:1836)
        at org.apache.hadoop.hdfs.server.namenode.FSNamesystem.getBlockLocations(FSNamesystem.java:1808)
        at org.apache.hadoop.hdfs.server.namenode.FSNamesystem.getBlockLocations(FSNamesystem.java:1723)
        at org.apache.hadoop.hdfs.server.namenode.NameNodeRpcServer.getBlockLocations(NameNodeRpcServer.java:588)
        at org.apache.hadoop.hdfs.protocolPB.ClientNamenodeProtocolServerSideTranslatorPB.getBlockLocations(ClientNamenodeProtocolServerSideTranslatorPB.java
:366)
        at org.apache.hadoop.hdfs.protocol.proto.ClientNamenodeProtocolProtos$ClientNamenodeProtocol$2.callBlockingMethod(ClientNamenodeProtocolProtos.java)
        at org.apache.hadoop.ipc.ProtobufRpcEngine$Server$ProtoBufRpcInvoker.call(ProtobufRpcEngine.java:616)
        at org.apache.hadoop.ipc.RPC$Server.call(RPC.java:982)
        at org.apache.hadoop.ipc.Server$Handler$1.run(Server.java:2217)
        at org.apache.hadoop.ipc.Server$Handler$1.run(Server.java:2213)
        at java.security.AccessController.doPrivileged(Native Method)
        at javax.security.auth.Subject.doAs(Subject.java:422)
        at org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1746)
        at org.apache.hadoop.ipc.Server$Handler.run(Server.java:2213)


        at org.apache.hadoop.ipc.Client.call(Client.java:1476) ~[hadoop-common-2.7.4.jar:?]
        at org.apache.hadoop.ipc.Client.call(Client.java:1413) ~[hadoop-common-2.7.4.jar:?]
        at org.apache.hadoop.ipc.ProtobufRpcEngine$Invoker.invoke(ProtobufRpcEngine.java:229) ~[hadoop-common-2.7.4.jar:?]
        at com.sun.proxy.$Proxy35.getBlockLocations(Unknown Source) ~[?:?]
        at org.apache.hadoop.hdfs.protocolPB.ClientNamenodeProtocolTranslatorPB.getBlockLocations(ClientNamenodeProtocolTranslatorPB.java:255) ~[hadoop-hdfs-
2.7.4.jar:?]
",https://issues.apache.org/jira/browse/FLINK-18091+https://issues.apache.org/jira/browse/FLINK-5763,https://github.com/apache/flink/pull/3345,,
15,,Event values should not be included in log messages+Remove key and value from exception message,RM,RM-Ms,"

In certain error situations, event values are included in log messages:

2018-04-19 08:00:28 [my-component-37670563-39be-4fcb-92e1-02f115aca43c-StreamThread-2] ERROR o.a.k.s.p.i.AssignedTasks - stream-thread [my-component-37670563-39be-4fcb-92e1-02f115aca43c-StreamThread-2] Failed to commit stream task 1_1 due to the following error:
org.apache.kafka.streams.errors.StreamsException: task [1_1] Abort sending since an error caught with a previous record (key [my-key] value [my-value] ...

In some environments, this is highly undesired behavior since the values can contain sensitive information. Error logs are usually collected to separate systems not meant for storing such information (e.g. patient or financial data).",https://issues.apache.org/jira/browse/KAFKA-6804+https://issues.apache.org/jira/browse/KAFKA-8501,https://github.com/apache/kafka/blob/trunk/streams/src/main/java/org/apache/kafka/streams/processor/internals/RecordCollectorImpl.java#L185-L196+https://github.com/apache/kafka/pull/6904/commits/8e72d55651496eb5eea98a1a92b53ef64cd9dba0+https://github.com/apache/kafka/blob/trunk/streams/src/main/java/org/apache/kafka/streams/processor/internals/RecordCollectorImpl.java#L243-L254,,
16,,"Silence ERROR logs from CalciteException, SqlValidatorException",IL,IL-Lv,"

CalciteException and SqlValidatorException log exceptions at ERROR level.
This is not appropriate since
1) the exception might be expected by the caller
2) exception might contain sensitive information
3) ERROR level is not appropriate, since error in validation does not imply business-level error.

I suggest to remove `LOGGER.error` calls from Calcite code.

Logging exceptions at TRACE level is fine from my point of view, so client can enable trace logging if required for debug purposes.",https://issues.apache.org/jira/browse/CALCITE-2463,https://github.com/apache/calcite/pull/797,,
17,,KStreams RecordCollectorImpl leaks data to logs on error,RM,RM-Ms,"

org.apache.kafka.streams.processor.internals.RecordCollectorImpl leaks data on error as it dumps the value / message payload to the logs.

This is problematic as it may contain personally identifiable information (pii) or other secret information to plain text log files which can then be propagated to other log systems i.e Splunk.

I suggest the key, and value fields be moved to debug level as it is useful for some people while error level contains the errorMessage, timestamp, topic and stackTrace.

private <K, V> void recordSendError(
    final K key,
    final V value,
    final Long timestamp,
    final String topic,
    final Exception exception
) {
    String errorLogMessage = LOG_MESSAGE;
    String errorMessage = EXCEPTION_MESSAGE;
    if (exception instanceof RetriableException) {
        errorLogMessage += PARAMETER_HINT;
        errorMessage += PARAMETER_HINT;
    }
    log.error(errorLogMessage, key, value, timestamp, topic, exception.toString());
    sendException = new StreamsException(
        String.format(
            errorMessage,
            logPrefix,
            ""an error caught"",
            key,
            value,
            timestamp,
            topic,
            exception.toString()
        ),
        exception);
}
",https://issues.apache.org/jira/browse/KAFKA-7510,https://github.com/apache/kafka/pull/5834,,
18,,Remove logging of predicate filters+Hive returns wrong result when predicates on non-existing columns are pushed down to Parquet reader,SS,SS-Cr,"added the filter predicate to the debug log of HS2, but since these filters may contain sensitive information they should not be logged out.
The log statement should be changed back to the original form.",https://issues.apache.org/jira/browse/HIVE-17052+https://issues.apache.org/jira/browse/HIVE-16869,https://issues.apache.org/jira/secure/attachment/12872361/HIVE-16869.2.patch+https://issues.apache.org/jira/secure/attachment/12875915/HIVE-17052.1.patch,,
19,,Security: passwords logging and file permisions+Sqlline start command with password appears in the sqlline.log,IL,IL-Lv,"Description

Prerequisites:
1. Log level is set to ""all"" in the conf/logback.xml:

<logger name=""org.apache.drill"" additivity=""false"">
    <level value=""all"" />
    <appender-ref ref=""FILE"" />
</logger>

2. PLAIN authentication mechanism is configured:

  security.user.auth: {
	enabled: true,
	packages += ""org.apache.drill.exec.rpc.user.security"",
	impl: ""pam"",
	pam_profiles: [ ""sudo"", ""login"" ]
  }

Steps:
1. Start the drillbits
2. Connect by sqlline:

/opt/mapr/drill/drill-1.13.0/bin/sqlline -u ""jdbc:drill:zk=node1:5181;"" -n user1 -p 1234

3. Use check the sqlline logs:

tail -F log/sqlline.log|grep 1234 -a5 -b5

Expected result: Logs shouldn't contain clear-text passwords

Actual result: The logs contain the sqlline start command with password:

# system properties
35333-        ""java"" : {
35352-            # system properties
35384:            ""command"" : ""sqlline.SqlLine -d org.apache.drill.jdbc.Driver --maxWidth=10000 --color=true -u jdbc:drill:zk=node1:5181; -n user1 -p 1234"",
35535-            # system properties
35567-            ""launcher"" : ""SUN_STANDARD""
35607-        }
Prerequisites:
1. Log level is set to ""all"" in the conf/logback.xml:

<logger name=""org.apache.drill"" additivity=""false"">
    <level value=""all"" />
    <appender-ref ref=""FILE"" />
</logger>

2. PLAIN authentication mechanism is configured:

  security.user.auth: {
	enabled: true,
	packages += ""org.apache.drill.exec.rpc.user.security"",
	impl: ""pam"",
	pam_profiles: [ ""sudo"", ""login"" ]
  }

Steps:
1. Start the drillbits
2. Connect by sqlline:

/opt/mapr/drill/drill-1.13.0/bin/sqlline -u ""jdbc:drill:zk=node1:5181;"" -n user1 -p 1111

Expected result: Logs shouldn't contain clear-text passwords

Actual results: During the drillbit startup or establishing connections via the jdbc or odbc, the following lines appear in the drillbit.log:

properties {
    key: ""password""
    value: ""1111""
}

Same thing happens with storage configuration data, everything, including passwords is being logged to file.

Another issue:

Currently Drill config files has the permissions 0644:

-rw-r--r--. 1 mapr mapr 1081 Nov 16 14:42 core-site-example.xml
-rwxr-xr-x. 1 mapr mapr 1807 Dec 19 11:55 distrib-env.sh
-rw-r--r--. 1 mapr mapr 1424 Nov 16 14:42 distrib-env.sh.prejmx
-rw-r--r--. 1 mapr mapr 1942 Nov 16 14:42 drill-am-log.xml
-rw-r--r--. 1 mapr mapr 1279 Dec 19 11:55 drill-distrib.conf
-rw-r--r--. 1 mapr mapr  117 Nov 16 14:50 drill-distrib-mem-qs.conf
-rw-r--r--. 1 mapr mapr 6016 Nov 16 14:42 drill-env.sh
-rw-r--r--. 1 mapr mapr 1855 Nov 16 14:50 drill-on-yarn.conf
-rw-r--r--. 1 mapr mapr 6913 Nov 16 14:42 drill-on-yarn-example.conf
-rw-r--r--. 1 mapr mapr 1135 Dec 19 11:55 drill-override.conf
-rw-r--r--. 1 mapr mapr 7820 Nov 16 14:42 drill-override-example.conf
-rw-r--r--. 1 mapr mapr 3136 Nov 16 14:42 logback.xml
-rw-r--r--. 1 mapr mapr  668 Nov 16 14:51 warden.drill-bits.conf
-rw-r--r--. 1 mapr mapr 1581 Nov 16 14:42 yarn-client-log.xml

As they may contain some sensitive information, like passwords or secret keys, they cannot be viewable to everyone",https://issues.apache.org/jira/browse/DRILL-6189+https://issues.apache.org/jira/browse/DRILL-6250,https://github.com/apache/drill/pull/1139+https://github.com/apache/drill/pull/1174,,
20,,Kafka logs values of sensitive configs like passwords,RM,RM-Ft,"

    We are using 0.9.0.1 of Kafka (Java) libraries for our Kafka consumers and producers. In one of our consumers, our consumer config had a SSL specific property which ended up being used against a non-SSL Kafka broker port. As a result, the logs ended up seeing messages like:

    17:53:33,722 WARN [o.a.k.c.c.ConsumerConfig] - The configuration ssl.truststore.password = foobar was supplied but isn't a known config.

    The log message is fine and makes sense, but can Kafka please not log the values of the properties and instead just include the config name which it considers as unknown? That way it won't ended up logging these potentially sensitive values. I understand that only those with access to these log files can end up seeing these values but even then some of our internal processes forbid logging such sensitive information to the logs. This log message will still end up being useful if only the config name is logged without the value. 

Apparently (as noted in that thread), there's already code in the Kafka library which masks sensitive values like passwords, but it looks like there's a bug where it unintentionally logs these raw values.",https://issues.apache.org/jira/browse/KAFKA-4056,https://github.com/apache/kafka/pull/1759,,
21,,Use individual user credentials for data source authentication+Don't persist authentication info into note.json,SS,SS-Cr,"

As a user, I would like to use my credentials to authenticate with data sources.

For example, I have an account in the Vertica database with credentials. I would like to use that account to create a JDBC connection instead of a shared account for all users.",https://issues.apache.org/jira/browse/ZEPPELIN-828+https://issues.apache.org/jira/browse/ZEPPELIN-835,https://github.com/apache/zeppelin/pull/904,,
22,,ReconfigurableBase can log sensitive information + Update HttpFS to use ConfigRedactor,RM,RM-Ms,"

ReconfigurableBase will log old and new configuration values, which may cause sensitive parameters (most notably cloud storage keys, though there may be other instances) to get included in the logs.

Given the currently small list of reconfigurable properties, an argument could be made for simply not logging the property values at all, but this is not the only instance where potentially sensitive configuration gets written somewhere else in plaintext. I think a generic mechanism for redacting sensitive information for textual display will be useful to some of the web UIs too.

There's some code in HttpFS's server class that masks sensitive configuration values when they're being logged. We should update this to use ConfigRedactor (currently used for a similar purpose when refreshing configuration) so the list of sensitive configuration parameters can be managed in one place.

The list also needs a few additions for HttpFS.",https://issues.apache.org/jira/browse/HADOOP-13494+https://issues.apache.org/jira/browse/HDFS-11080,https://issues.apache.org/jira/browse/HADOOP-13494+https://issues.apache.org/jira/browse/HDFS-11080,,
23,,listAPIs are taking too long to return results + private keys get logged when UpdateCustomCertificate gets called,RM,RM-Ms,"Usage of @LogLevel(Log4jLevel.Off) seems inappropriate to avoid logging sensitive information, why not still check the sensitive param/annotation to log or not log data?",https://issues.apache.org/jira/browse/CLOUDSTACK-8485+https://issues.apache.org/jira/browse/CLOUDSTACK-9023,https://github.com/apache/cloudstack/commit/e13df96348c60694849f91d0c025cb349aea124e,,
24,,Hive query plan returns sensitive data to external applications,RM,RM-Ms,"

Some applications are using getQueryString() method from the QueryPlan class to get the query that is being executed by Hive. The query string returned is not redacted, and it is returning sensitive information that is logged in Navigator.

We need to return data redacted from the QueryPlan to avoid other applications to log sensitive data.",https://issues.apache.org/jira/browse/HIVE-9994,https://issues.apache.org/jira/browse/HIVE-9994,,
25,,Dumping sensitive information in the debug log,RM,RM-Ms,"

Brooklyn dumps sensitive information in the debug log like passwords and private keys. I tracked it (at least) to the following locations

    brooklyn.entity.software.MachineLifecycleEffectorTasks. provisionAsync(MachineProvisioningLocation<?>) (current line is 239)

Entities.sanitize goes just one level deep, leaving deeper info untouched (in this case the config object)

    brooklyn.location.basic.BasicLocationRegistry.updateDefinedLocations() (current line is 153)

definedLocations.values() is not sanitized at all, leaving all the info from the properties file visible",https://issues.apache.org/jira/browse/BROOKLYN-10,https://github.com/apache/incubator-brooklyn/pull/546,,
26,,Password obfuscation for DCL audit log statements,SS,SS-Ur,"

The goal of this JIRA is to obfuscate passwords or any sensitive information from DCL audit log statements.

Currently, (Cassandra version 4.0-rc1) logs query statements for any DCL (ROLE and USER ) queries with passwords in plaintext format in audit log files.

The current workaround to avoid plain text passwords from being logged in audit log files is either by excluding DCL statements from auditing or by excluding the user who is creating these roles from auditing.

It would be ideal for Cassandra to provide an option or default to obfuscate passwords or any sensitive information from DCL audit log statements.

Sample audit logs with DCL queries

Type: audit
LogMessage: user:cassandra|host:localhost/127.0.0.1:7000|source:/127.0.0.1|port:51908|timestamp:1620190499676|type:CREATE_ROLE|category:DCL|operation:CREATE ROLE new_role;
Type: audit
LogMessage: user:cassandra|host:localhost/127.0.0.1:7000|source:/127.0.0.1|port:51908|timestamp:1620190505313|type:CREATE_ROLE|category:DCL|operation:CREATE ROLE alice WITH PASSWORD = 'password_a' AND LOGIN = true;
Type: audit
LogMessage: user:cassandra|host:localhost/127.0.0.1:7000|source:/127.0.0.1|port:51908|timestamp:1620190519521|type:REQUEST_FAILURE|category:ERROR|operation:ALTER ROLE bob WITH PASSWORD = 'PASSWORD_B' AND SUPERUSER = false;; bob doesn't exist
Type: audit
LogMessage: user:cassandra|host:localhost/127.0.0.1:7000|source:/127.0.0.1|port:51908|timestamp:1620190525376|type:CREATE_ROLE|category:DCL|operation:CREATE ROLE bob WITH PASSWORD = 'password_b' AND LOGIN = true AND SUPERUSER = true;
Type: audit
LogMessage: user:cassandra|host:localhost/127.0.0.1:7000|source:/127.0.0.1|port:51908|timestamp:1620190532462|type:ALTER_ROLE|category:DCL|operation:ALTER ROLE bob WITH PASSWORD = 'PASSWORD_B' AND SUPERUSER = false;

It is also ideal to document this workaround or assumption in Cassandra audit log documentation until we close this JIRA",https://issues.apache.org/jira/browse/CASSANDRA-16669,https://github.com/apache/cassandra/commit/f978bea272409109e312a27a121f849879650bdb,,
