ID,Issue Title,Issue URL,PR URL
69,"Sensitive service configuration values should be decrypted when processing the Ambari agent command script, if enabled",https://issues.apache.org/jira/browse/AMBARI-24894,https://github.com/apache/ambari/pull/2613
70,Prevent Sensitive Data Exposure in Logging,https://github.com/thingersoft/code-interpreter/pull/39,https://github.com/thingersoft/code-interpreter/pull/39
71,Remove sensitive debug logs,https://github.com/ilhanwon/Mobile-Inspection-Report-Web-App-4176/pull/1,https://github.com/ilhanwon/Mobile-Inspection-Report-Web-App-4176/pull/1
72,filter sensitive attributes in logs,https://github.com/rails/rails/pull/55251,https://github.com/rails/rails/pull/55251
73,Potential fix for code scanning alert no. 1: Clear-text logging of sensitive information,https://github.com/Humpnduati/25e---PyProgramming/pull/5,https://github.com/Humpnduati/25e---PyProgramming/pull/5
74,Use logging and mask token in config,https://github.com/barkoszloy-afk/telegram-bot-project-1/pull/27,https://github.com/barkoszloy-afk/telegram-bot-project-1/pull/27
75,Fix: Refactor logging and address potential credential leakage,https://github.com/lfreleng-actions/nexus-publish-action/pull/10,https://github.com/lfreleng-actions/nexus-publish-action/pull/10
76,System Information Leak vulnerability fix (powered by Mobb),https://github.com/tomer-mobb/Marinus/pull/13,https://github.com/tomer-mobb/Marinus/pull/13
77,Redact sensitive information in log files at release workflow,https://github.com/apache/spark/pull/51102,
78,SENSITIVE_HEADERS list is hardcoded,https://issues.apache.org/jira/browse/CXF-9082,https://github.com/apache/cxf/pull/2150
79,Kinit with keytab should not display the keytab file's full path in any logs,https://issues.apache.org/jira/browse/HADOOP-17587,https://issues.apache.org/jira/browse/HADOOP-17587
80,Redact sensitive information from SparkSubmit console output,https://issues.apache.org/jira/browse/SPARK-19720,https://github.com/apache/spark/pull/17047 + https://github.com/apache/spark/pull/18765 + https://github.com/apache/spark/pull/18802
81,jdbc URL can contain sensitive information that should not be logged,https://issues.apache.org/jira/browse/HIVE-20796,https://issues.apache.org/jira/browse/HIVE-20796
82,Hiding sensitive information in request and response logs via configuration,https://issues.apache.org/jira/browse/CXF-8099,https://github.com/apache/cxf/pull/681
83,Don't print sensitive information in logs by default,https://issues.apache.org/jira/browse/IGNITE-13929,https://github.com/apache/ignite/pull/9611
84,Fix the problem that SwaggerProducerOperation catchs business exceptions and prints logs may reveal sensitive informations.,https://issues.apache.org/jira/browse/SCB-2108,https://github.com/apache/servicecomb-java-chassis/pull/2021
85,OAuth's HttpAccessTokenRetriever potentially leaks secrets in logging,https://issues.apache.org/jira/browse/KAFKA-14623,https://github.com/apache/kafka/pull/13119 + https://github.com/apache/kafka/pull/13166
86,Add support for storing credentials in Azure Keyvault,https://issues.apache.org/jira/browse/NIFI-8279,https://github.com/apache/nifi/pull/4863
87,broker may expose uncommitted data to a consumer,https://issues.apache.org/jira/browse/KAFKA-698,https://issues.apache.org/jira/browse/KAFKA-698
88,Operation Logging still leaks the log4j Appenders,https://github.com/apache/hive/pull/1849 + https://github.com/apache/hive/pull/2432,
89,Sensitive external values exposed in debug logs when using external config supplier,https://issues.apache.org/jira/browse/BROOKLYN-269,https://github.com/apache/brooklyn-server/pull/659
90,Need a way to flag sensitive information in Config,https://issues.apache.org/jira/browse/SAMZA-589,https://issues.apache.org/jira/browse/SAMZA-589
91,Do not dump data on error in TextExportMapper by default,https://issues.apache.org/jira/browse/SQOOP-2651,https://issues.apache.org/jira/browse/SQOOP-2651
92,fix: redact passwords in logs,https://github.com/AlexxIT/go2rtc/pull/1219,https://github.com/AlexxIT/go2rtc/pull/1219
93,Security Vulnerability in PyFlink Logging Mechanism (PythonEnvUtils.java),https://issues.apache.org/jira/browse/FLINK-38035,https://github.com/apache/flink/pull/26794 + https://github.com/apache/flink/pull/26803 + https://github.com/apache/flink/pull/26841
94,Namenode WebUI prints sensitive information on Token Expiry,https://issues.apache.org/jira/browse/HDFS-16563,https://github.com/apache/hadoop/pull/4241
95,Datadog API Key exposed in Flink JobManager logs,https://issues.apache.org/jira/browse/FLINK-20055,https://github.com/apache/flink/pull/13995
96,Prevent sensitive request headers from being logged in debug level + debug: redact sensitive info from debug logs,https://github.com/envoyproxy/envoy/issues/9652 + https://github.com/envoyproxy/envoy/pull/27579,https://github.com/envoyproxy/envoy/pull/27579
97,kuberuntime_manager: don't log entire container spec,https://github.com/kubernetes/kubernetes/pull/132139,https://github.com/kubernetes/kubernetes/pull/132139
98,"Recovery middleware leaks sensitive cookies, tokens, and headers into logs + Don't log requests",https://github.com/gin-gonic/gin/issues/1331?utm_source=chatgpt.com + https://github.com/gin-gonic/gin/pull/1370,https://github.com/gin-gonic/gin/pull/1370
99,MaskSensitiveHelper does not mask multi-line content,https://issues.apache.org/jira/browse/CXF-9066,https://github.com/apache/cxf/pull/2105
100,SQL text in server logs on errors,https://issues.apache.org/jira/browse/IGNITE-23284,https://github.com/apache/ignite-3/pull/4943
101,Pre hashed passwords in CQL,https://issues.apache.org/jira/browse/CASSANDRA-17334,https://github.com/apache/cassandra/pull/1478
